,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
109,Los Llanos de Aridane,20,ES,1554514860,67,28.66,-17.92,62.6,23.04
110,Lindenhurst,75,US,1554515198,81,42.41,-88.03,54.0,5.08
111,Tiksi,56,RU,1554515102,86,71.64,128.87,21.14,4.18
112,Makakilo City,1,US,1554514986,51,21.35,-158.09,82.4,14.99
113,Camopi,92,GF,1554515344,75,3.17,-52.33,77.93,3.74
114,Marrakesh,75,MA,1554512400,100,31.63,-7.99,46.4,2.24
115,Comodoro Rivadavia,0,AR,1554513480,34,-45.87,-67.48,68.0,11.41
116,Talaya,0,RU,1554514821,46,55.79,84.89,32.0,6.71
117,Conceicao do Coite,88,BR,1554515199,100,-11.56,-39.28,70.55,4.41
118,Kahului,40,US,1554514835,48,20.89,-156.47,84.2,8.05
119,Mar del Plata,12,AR,1554515134,53,-46.43,-67.52,62.9,33.15
120,Karratha,0,AU,1554515113,10,-20.74,116.85,99.8,13.13
121,Lebu,75,ET,1554512400,72,8.96,38.73,60.8,10.29
122,Ballina,88,IE,1554514695,86,54.11,-9.15,46.0,8.99
123,Santa Rosa,0,AR,1554515347,44,-36.62,-64.29,55.79,10.89
124,Arraial do Cabo,0,BR,1554514802,84,-22.97,-42.02,80.36,17.27
125,East London,92,ZA,1554514901,100,-33.02,27.91,64.52,6.76
126,Znamenskoye,0,RU,1554515348,85,57.13,73.82,30.5,10.45
127,Baoning,76,CN,1554512400,82,25.34,110.03,66.2,2.24
128,Carballo,92,ES,1554515336,93,43.21,-8.69,48.99,6.93
129,Ouargaye,44,BF,1554515348,66,11.5,0.06,80.9,11.12
130,Srednekolymsk,0,RU,1554515349,67,67.46,153.71,23.84,3.4
131,Esperance,20,TT,1554514819,74,10.24,-61.45,78.8,6.64
132,Kavieng,48,PG,1554515146,100,-2.57,150.8,84.41,4.41
133,Kapuskasing,90,CA,1554512400,86,49.42,-82.43,33.8,5.82
134,Samarai,92,PG,1554514929,100,-10.62,150.67,78.29,4.07
135,Aklavik,5,CA,1554512400,53,68.22,-135.01,21.2,8.05
136,Nemuro,75,JP,1554512400,64,43.32,145.57,37.4,9.17
137,Inuvik,5,CA,1554512400,53,68.36,-133.71,21.2,8.05
138,Te Anau,0,NZ,1554515119,49,-45.41,167.72,53.54,3.4
139,North Port,1,US,1554515309,88,27.04,-82.24,75.99,4.85
140,Bogorodskoye,44,RU,1554515350,66,52.37,140.44,37.25,7.87
141,Englewood,90,US,1554515302,20,39.65,-104.99,64.99,17.22
142,Homer,75,US,1554515194,70,59.64,-151.54,44.01,5.82
143,Panevezys,0,LT,1554513600,59,55.73,24.35,33.8,6.93
144,Funtua,0,NG,1554515351,63,11.52,7.31,71.81,9.78
145,Pskov,0,RU,1554512400,71,57.82,28.33,32.0,2.24
146,Forio,32,IT,1554515345,81,40.73,13.86,55.0,2.24
147,Dikson,76,RU,1554515096,100,73.51,80.55,20.33,13.13
148,Altus,1,US,1554515287,56,34.64,-99.33,71.6,9.17
149,Ponta Delgada,75,PT,1554515225,87,37.73,-25.67,59.0,14.99
150,Flinders,40,AU,1554515345,57,-34.58,150.85,82.0,8.05
151,Tautira,40,PF,1554514943,62,-17.73,-149.15,89.6,10.29
152,Port Lincoln,8,AU,1554515190,89,-34.72,135.86,65.51,4.41
153,Bluff,0,AU,1554515096,44,-23.58,149.07,85.13,9.44
154,Sao Filipe,24,CV,1554515081,99,14.9,-24.5,70.01,17.94
155,Evensk,0,RU,1554515353,77,61.92,159.24,36.53,2.95
156,Tonantins,88,BR,1554515183,89,-2.86,-67.77,79.46,2.73
157,Fortuna,0,ES,1554515033,76,38.18,-1.13,50.0,9.17
158,Upernavik,36,GL,1554515134,100,72.79,-56.15,15.38,9.89
159,Manado,20,ID,1554512400,70,1.49,124.85,84.2,2.24
160,Meadow Lake,36,CA,1554515297,71,54.13,-108.44,34.01,6.08
161,Cortez,1,US,1554515333,24,37.35,-108.58,57.2,5.82
162,Merta,0,IN,1554515354,32,26.65,74.03,80.18,9.78
163,Nanortalik,88,GL,1554515115,92,60.14,-45.24,32.21,26.55
164,Washougal,75,US,1554515272,71,45.58,-122.35,55.4,14.99
165,Baykalsk,56,RU,1554515355,92,51.52,104.15,29.6,2.62
166,Mount Isa,8,AU,1554512400,42,-20.73,139.49,86.0,13.87
167,Torbay,75,CA,1554514711,63,47.66,-52.73,30.0,24.16
168,Portland,40,US,1554515051,58,45.52,-122.67,55.4,14.99
169,Cayenne,90,GF,1554512400,94,4.94,-52.33,75.2,2.24
170,Novyy Yegorlyk,32,RU,1554515355,94,46.39,41.87,38.51,7.31
171,Vuktyl,8,RU,1554515356,86,63.86,57.31,20.15,2.51
172,Abadiania,40,BR,1554512400,93,-16.2,-48.71,66.2,2.24
173,Coihaique,90,CL,1554512400,58,-45.58,-72.07,53.6,4.7
174,Deer Lake,40,CA,1554512400,62,49.18,-57.43,24.8,5.82
175,Dois Corregos,0,BR,1554515141,83,-22.37,-48.38,77.0,2.24
176,Jinchang,8,CN,1554515356,68,38.52,102.19,51.2,6.2
177,Sira,0,IN,1554515357,56,13.74,76.91,79.73,3.96
178,Moerai,20,PF,1554515357,100,-22.43,-151.33,79.01,7.31
179,Biscarrosse,92,FR,1554514839,93,44.41,-1.18,46.4,9.17
180,Calhoun,1,US,1554515350,100,34.5,-84.95,62.6,2.95
181,Vemalwada,0,IN,1554515358,46,18.47,78.88,83.42,8.1
182,Kupino,48,RU,1554515358,89,54.36,77.31,32.93,9.1
183,Ewing,90,US,1554515282,100,40.27,-74.8,43.0,4.7
184,Talnakh,76,RU,1554515150,96,69.49,88.39,20.15,14.25
185,Iqaluit,90,CA,1554514922,92,63.75,-68.52,21.2,2.24
186,Citrus Park,1,US,1554515353,27,33.55,-112.44,78.8,6.93
187,Jalu,92,LY,1554515102,95,29.03,21.55,64.97,14.25
188,Lumsden,90,CA,1554514923,53,50.65,-104.86,41.0,12.75
189,Kaeo,100,NZ,1554514684,81,-35.1,173.78,64.99,3.0
190,Trincomalee,0,LK,1554515185,81,8.58,81.23,81.98,4.41
191,Wasilla,1,US,1554515309,26,61.58,-149.44,46.99,5.82
192,Yazd,75,IR,1554514200,55,31.89,54.36,62.6,24.16
193,Matara,0,PE,1554515360,76,-13.74,-72.9,34.1,1.5
194,Ahipara,64,NZ,1554515170,78,-35.17,173.16,67.13,9.55
195,Bolanos de Calatrava,68,ES,1554515285,86,38.91,-3.66,41.0,10.0
196,Slave Lake,90,CA,1554512400,60,55.28,-114.77,42.8,12.75
197,Nova Granada,40,BR,1554512400,74,-20.53,-49.32,78.8,3.36
198,Gayny,0,RU,1554515361,85,60.3,54.33,22.85,6.87
199,Gamboma,0,CG,1554515362,94,-1.87,15.88,72.53,7.65
200,North Ogden,75,US,1554515194,36,41.31,-111.96,60.8,3.36
201,Nuuk,68,GL,1554511800,37,64.17,-51.74,37.4,26.4
202,Bubaque,0,GW,1554515156,88,11.28,-15.83,81.53,16.04
203,Vokhtoga,0,RU,1554515362,75,58.81,41.03,18.26,3.18
204,Kalyazin,44,RU,1554515362,82,57.24,37.84,24.83,3.29
205,Mountain Home,40,US,1554515046,58,43.13,-115.69,57.2,2.51
206,Mangai,0,CD,1554515363,94,-4.07,19.59,74.69,1.95
207,Berezovka,0,RU,1554515363,65,57.6,57.31,20.06,2.62
208,Ambilobe,0,MG,1554515363,89,-13.19,49.05,71.63,6.42
209,Taoudenni,0,ML,1554515146,40,22.68,-3.98,58.04,9.22
210,Kaitangata,0,NZ,1554515009,54,-46.28,169.85,54.0,11.99
211,Hasaki,20,JP,1554514662,100,35.73,140.83,68.0,10.29
212,Uyemskiy,0,RU,1554512400,79,64.47,40.85,21.2,4.47
213,Husavik,0,CA,1554514831,91,50.56,-96.99,30.0,7.54
214,Shelburne,90,CA,1554515281,93,44.08,-80.2,37.99,4.7
215,Mount Gambier,90,AU,1554512400,59,-37.83,140.78,60.8,10.29
216,North Bend,1,US,1554515265,66,43.41,-124.22,55.4,23.04
217,Sangar,0,RU,1554515365,64,63.92,127.47,34.01,2.95
218,Gympie,36,AU,1554514806,84,-26.2,152.66,69.01,1.99
219,Hofn,32,IS,1554515221,100,64.25,-15.21,36.17,16.26
220,Chapais,90,CA,1554513360,47,49.78,-74.86,33.8,21.92
221,Sorrento,0,AU,1554515325,45,-31.82,115.75,72.0,4.7
222,Ayios Nikolaos,75,GR,1554515247,93,38.42,23.65,57.99,5.82
223,Sebinkarahisar,0,TR,1554515367,77,40.29,38.42,21.86,2.06
224,Port-Gentil,76,GA,1554514977,100,-0.72,8.78,77.66,4.07
225,Mariental,8,DE,1554515323,94,52.28,10.99,43.0,7.43
226,Port Blair,0,IN,1554514948,100,11.67,92.75,83.6,5.75
227,Lata,56,IN,1554515179,100,30.78,78.62,48.32,1.83
228,Vila Franca do Campo,75,PT,1554515042,87,37.72,-25.43,59.0,14.99
229,Isangel,75,VU,1554512400,66,-19.55,169.27,84.2,17.22
230,Faanui,88,PF,1554515062,100,-16.48,-151.75,84.77,14.81
231,Puerto Ayora,68,EC,1554514229,95,-0.74,-90.35,77.0,5.75
232,Touros,20,BR,1554512400,94,-5.2,-35.46,77.0,3.36
233,Goderich,0,CA,1554515306,94,43.74,-81.71,37.99,2.62
234,Ilo,0,PE,1554515368,94,-17.65,-71.34,60.74,1.5
235,Rawson,12,AR,1554515108,30,-43.3,-65.11,55.16,10.89
236,Brae,92,GB,1554513600,87,60.4,-1.35,44.6,4.7
237,Mayumba,76,GA,1554515368,100,-3.44,10.65,77.93,7.2
238,Ruwi,0,OM,1554511800,61,23.6,58.55,77.0,2.24
239,Porto Seguro,20,BR,1554512400,78,-16.44,-39.06,80.6,5.82
240,Alofi,76,NU,1554512400,88,-19.06,-169.92,80.6,3.36
241,Bar Harbor,20,US,1554515234,64,44.39,-68.2,37.99,12.75
242,Perelyub,92,RU,1554515369,96,51.87,50.37,42.56,10.0
243,Caluquembe,0,AO,1554515369,88,-13.78,14.68,57.5,1.5
244,Guilin,56,CN,1554512400,82,25.28,110.29,66.2,2.24
245,San Patricio,92,PY,1554515130,84,-26.98,-56.83,64.61,6.64
246,Byron Bay,40,AU,1554514832,57,-28.65,153.62,80.01,3.36
247,Malangwa,0,CD,1554515370,96,-2.84,17.57,74.51,2.17
248,Batemans Bay,0,AU,1554515208,54,-35.71,150.18,75.0,5.86
249,Davila,20,PH,1554512400,70,18.47,120.58,84.2,2.24
250,Nantucket,90,US,1554515369,99,41.28,-70.1,39.2,5.82
251,Mlonggo,20,ID,1554512400,78,-6.53,110.7,82.4,2.24
252,Luderitz,8,NA,1554515155,81,-26.65,15.16,57.86,14.81
253,Namatanai,32,PG,1554515182,100,-3.66,152.44,82.88,3.85
254,Vestmanna,56,FO,1554513600,86,62.16,-7.17,41.0,6.93
255,Solginskiy,0,RU,1554515372,63,61.05,41.34,13.76,3.62
256,Burnie,32,AU,1554515284,58,-41.05,145.91,64.99,10.0
257,Grand Gaube,75,MU,1554515041,83,-20.01,57.66,78.8,12.75
258,Namibe,0,AO,1554515067,100,-15.19,12.15,77.12,3.74
259,Sioux Lookout,90,CA,1554512400,88,50.1,-91.92,37.4,2.24
260,Hutchinson,1,US,1554515150,59,38.06,-97.93,66.99,12.75
261,Nara,20,JP,1554515025,51,34.68,135.8,66.0,13.87
262,Takoradi,8,GH,1554515195,98,4.89,-1.75,82.25,8.43
263,Vaitape,56,PF,1554515373,100,-16.52,-151.75,83.15,13.47
264,Haines Junction,76,CA,1554515134,73,60.75,-137.51,25.1,2.17
265,Porto Franco,92,BR,1554515373,98,-6.34,-47.4,71.81,5.19
266,Verkhneuralsk,90,RU,1554512400,73,53.88,59.21,32.0,4.47
267,Hachinohe,75,JP,1554514809,61,40.47,141.48,46.4,18.34
268,Berlevag,0,NO,1554515161,100,70.86,29.09,22.49,8.43
269,Pacific Grove,90,US,1554515149,67,36.62,-121.92,61.0,6.93
270,Necochea,0,AR,1554515165,84,-38.55,-58.74,52.1,10.89
271,Tasiilaq,56,GL,1554511800,68,65.61,-37.64,30.2,26.4
272,Zhangjiakou,56,CN,1554515374,70,40.77,114.88,51.47,4.41
273,Yumen,0,CN,1554515374,30,40.29,97.04,60.74,6.76
274,Sisimiut,44,GL,1554515212,91,66.94,-53.67,19.16,4.85
275,Anjiang,8,CN,1554515375,85,27.32,110.14,68.66,3.29
276,Oum Hadjer,0,TD,1554515375,47,13.3,19.7,64.52,2.73
277,Sapa,20,PH,1554515107,62,14.32,120.76,90.0,6.93
278,La Ronge,40,CA,1554512400,50,55.1,-105.3,30.2,5.82
279,Liverpool,0,GB,1554515116,75,53.41,-2.98,46.99,10.29
280,Grand-Santi,100,GF,1554515376,99,4.27,-54.38,74.06,2.84
281,Tura,12,IN,1554515170,87,25.52,90.21,72.98,3.96
282,Guanagazapa,75,GT,1554512400,82,14.23,-90.64,68.0,6.93
283,High Rock,76,BS,1554515159,100,26.63,-78.28,75.68,13.8
284,Gat,8,SN,1554512400,68,14.69,-16.54,68.0,21.92
285,Anadyr,0,RU,1554514948,78,64.73,177.51,12.2,6.71
286,Guerrero Negro,92,MX,1554515067,93,27.97,-114.04,61.1,8.66
287,Usinsk,0,RU,1554515376,87,66.0,57.56,21.5,10.45
288,Lorengau,0,PG,1554515140,99,-2.02,147.27,83.6,1.83
289,Palmas Bellas,20,PA,1554515294,83,9.23,-80.09,82.4,3.36
290,San Cristobal,75,EC,1554514324,93,-0.39,-78.55,57.2,8.05
291,Pemagatsel,0,BT,1554515377,67,27.03,91.43,67.31,1.28
292,Aripuana,0,BR,1554515377,92,-9.17,-60.63,77.03,2.39
293,Nea Karvali,12,GR,1554515284,65,40.96,24.51,52.0,5.99
294,Kosa,0,RU,1554515378,70,59.94,54.99,19.79,2.95
295,Koch Bihar,0,IN,1554515378,55,26.32,89.46,81.71,8.43
296,Cockburn Town,88,TC,1554515072,99,21.46,-71.14,78.11,20.07
297,Nybro,0,SE,1554515310,82,56.75,15.91,44.6,12.75
298,Longyearbyen,90,NO,1554511800,62,78.22,15.63,19.4,1.12
299,Vao,20,EE,1554515120,73,59.1,26.19,29.78,5.75
300,Ushumun,80,RU,1554515379,46,52.78,126.54,41.3,5.75
301,Zhigansk,44,RU,1554515217,70,66.77,123.37,32.57,5.19
302,Aswan,0,EG,1554515379,72,24.09,32.9,55.25,3.62
303,Burgos,12,ES,1554515216,93,42.34,-3.7,36.0,12.75
304,Cabo San Lucas,20,MX,1554514345,60,22.89,-109.91,78.8,14.99
305,Turukhansk,80,RU,1554515181,97,65.8,87.96,28.16,12.46
306,Bathsheba,75,BB,1554512400,83,13.22,-59.52,75.2,27.51
307,Bosaso,0,SO,1554515380,100,11.28,49.18,79.46,10.45
308,Ambatondrazaka,92,MG,1554515380,99,-17.82,48.43,66.86,2.17
309,Caravelas,0,BR,1554515145,97,-17.73,-39.27,82.43,14.47
310,Tambacounda,0,SN,1554515381,25,13.77,-13.67,82.07,10.78
311,Canutama,32,BR,1554515381,91,-6.53,-64.38,78.29,2.17
312,Kysyl-Syr,0,RU,1554514887,57,63.9,122.77,35.63,4.97
313,Lompoc,1,US,1554514924,77,34.64,-120.46,63.0,11.41
314,Olga,75,US,1554515372,55,34.11,-118.17,64.99,8.05
315,Muros,75,ES,1554515336,100,42.77,-9.06,50.0,4.7
316,Moses Lake,90,US,1554515358,66,47.13,-119.28,53.6,12.75
317,Lavrentiya,0,RU,1554515075,91,65.58,-170.99,23.03,5.3
318,Pestravka,92,RU,1554515383,97,52.4,49.95,42.29,9.66
319,Turiacu,8,BR,1554515383,87,-5.01,-63.0,80.0,5.97
320,Baoqing,88,CN,1554515383,43,46.32,132.2,46.16,8.88
321,Astoria,75,US,1554515316,71,46.19,-123.83,52.0,12.75
322,Norsup,76,VU,1554515384,100,-16.07,167.38,80.63,6.64
323,Kerema,56,PG,1554515138,81,-7.96,145.78,82.7,2.84
324,Juarez,0,AR,1554512400,71,-38.95,-67.92,57.2,4.74
325,Yulara,0,AU,1554512400,25,-25.24,130.99,84.2,12.75
326,Eyemouth,88,GB,1554515366,93,55.87,-2.09,41.0,5.82
327,Bafq,100,IR,1554515385,56,31.6,55.4,60.29,6.08
328,San Antonio,0,CL,1554512400,93,-33.58,-71.61,51.8,2.17
329,Fuyu,20,CN,1554515387,70,47.79,124.46,43.73,11.34
330,Oyama,20,JP,1554515318,23,36.31,139.8,75.0,2.24
331,Sorland,0,NO,1554515168,100,67.67,12.69,38.15,1.61
332,Canto do Buriti,92,BR,1554515387,97,-8.11,-42.94,70.1,2.95
333,Naryan-Mar,64,RU,1554515388,87,67.67,53.09,23.48,19.84
334,Walvis Bay,0,NA,1554512539,87,-22.95,14.51,59.0,12.75
335,Peachland,75,CA,1554512413,66,49.77,-119.75,55.4,6.93
336,Sale,64,GB,1554515284,70,53.42,-2.32,46.4,5.82
337,Melo,32,UY,1554515388,91,-32.37,-54.17,61.73,8.32
338,Kenai,40,US,1554515225,36,60.55,-151.26,44.6,19.46
339,Muisne,56,EC,1554515153,90,0.61,-80.02,73.52,4.07
340,Sao Sebastiao,44,BR,1554515389,81,-3.15,-58.36,80.45,5.19
341,Harlingen,75,US,1554515002,73,26.19,-97.7,80.6,6.93
342,Bayan,88,MN,1554515389,44,47.25,107.54,26.36,9.78
343,Lazaro Cardenas,75,MX,1554511320,15,28.39,-105.62,78.8,18.34
344,Kodinar,32,IN,1554515390,90,20.79,70.7,73.25,4.52
345,Omboue,24,GA,1554515178,100,-1.57,9.26,81.44,3.62
346,Ixtapa,90,MX,1554514810,83,20.71,-105.21,75.99,8.05
347,Nasirabad,0,IN,1554515390,69,26.3,74.74,72.98,4.63
348,Seevetal,56,DE,1554515290,93,53.4,10.02,45.0,3.36
349,Pevek,20,RU,1554515138,86,69.7,170.27,8.63,10.89
350,Ilulissat,0,GL,1554511800,46,69.22,-51.1,30.2,23.04
351,Biloela,0,AU,1554515391,43,-24.4,150.51,82.43,8.21
352,Bontang,24,ID,1554515391,96,0.12,117.47,82.43,3.85
353,Kurilsk,92,RU,1554515215,97,45.23,147.88,30.77,19.06
354,Tromso,0,NO,1554513600,85,69.65,18.96,10.4,6.93
355,Nome,90,US,1554515342,83,30.04,-94.42,73.99,3.36
356,Saint-Augustin,92,FR,1554514945,93,44.83,-0.61,50.0,8.05
357,Opuwo,0,NA,1554515392,66,-18.06,13.84,57.23,3.51
358,Masvingo,0,ZW,1554515392,83,-20.08,30.83,58.85,2.62
359,Aksu,90,KZ,1554512400,100,52.04,76.93,33.8,11.18
360,Elbrus,44,RU,1554515393,79,43.26,42.65,12.41,0.83
361,Zhongshu,44,CN,1554515393,53,24.52,103.77,69.92,10.0
362,Belmonte,92,PT,1554515309,85,40.36,-7.35,44.01,8.01
363,Batagay,44,RU,1554515394,72,67.65,134.64,31.31,4.18
364,Winnemucca,90,US,1554515249,57,40.97,-117.74,50.0,8.05
365,Geraldton,90,CA,1554513240,92,49.72,-86.95,35.6,2.24
366,Valdivia,0,CL,1554512400,93,-39.81,-73.25,44.6,4.18
367,Meulaboh,0,ID,1554514923,99,4.14,96.13,84.41,2.39
368,Yar-Sale,44,RU,1554515140,84,66.83,70.83,22.22,24.43
369,Qaqortoq,75,GL,1554511800,47,60.72,-46.03,37.4,29.97
370,Mitsamiouli,24,KM,1554515325,100,-11.38,43.28,81.71,3.51
371,Labe,8,NG,1554515399,78,7.7,8.47,81.08,11.45
372,Oudtshoorn,0,ZA,1554512400,87,-33.59,22.2,51.8,2.24
373,Ken Caryl,75,US,1554515387,21,39.58,-105.11,64.99,11.41
374,Vila,75,IT,1554515354,76,45.18,8.4,52.0,1.12
